mutant-id|timeToExecute|0--0-passes a basic sanity check|1--1-uses it|2--2-uses it
MUTANT 435|2721ms|1|1|1
MUTANT 436|2642ms|1|1|1
MUTANT 437|2718ms|1|1|1
MUTANT 438|2636ms|-2|-2|-2
MUTANT 439|2841ms|1|1|1
MUTANT 440|2862ms|-2|-2|-2
MUTANT 441|2896ms|1|1|1
MUTANT 442|2973ms|1|1|1
MUTANT 443|1945ms|1|1|1
MUTANT 444|1900ms|1|1|1
MUTANT 448|2742ms|1|1|1
MUTANT 445|2848ms|1|1|1
MUTANT 446|2968ms|1|1|1
MUTANT 447|3092ms|1|1|1
MUTANT 449|3081ms|1|1|1
MUTANT 450|3210ms|1|1|1
MUTANT 451|3188ms|1|1|1
MUTANT 452|3187ms|1|1|1
MUTANT 453|3117ms|1|1|1
MUTANT 454|3063ms|1|1|1
MUTANT 455|3095ms|1|1|1
MUTANT 456|3172ms|1|1|1
MUTANT 457|3330ms|1|1|1
MUTANT 458|3419ms|1|1|1
MUTANT 459|3356ms|1|1|1
MUTANT 460|3501ms|1|1|1
MUTANT 461|3470ms|1|1|1
MUTANT 462|3318ms|1|1|1
MUTANT 463|3387ms|1|1|1
MUTANT 464|3468ms|1|1|1
MUTANT 465|3457ms|1|1|1
MUTANT 466|3518ms|1|1|1
MUTANT 467|3641ms|1|1|1
MUTANT 468|3688ms|1|1|1
MUTANT 469|4100ms|1|1|1
MUTANT 470|3985ms|1|1|1
MUTANT 471|4150ms|1|1|1
MUTANT 472|4517ms|1|1|1
MUTANT 473|4151ms|1|1|1
MUTANT 474|4350ms|1|1|1
MUTANT 475|4551ms|1|1|1
MUTANT 476|4142ms|1|1|1
MUTANT 477|4025ms|1|1|1
MUTANT 478|4030ms|1|1|1
MUTANT 479|3792ms|1|1|1
MUTANT 480|3824ms|1|1|1
MUTANT 481|4667ms|1|1|1
MUTANT 482|4712ms|1|1|1
MUTANT 483|4603ms|1|1|1
MUTANT 484|4535ms|1|1|1
MUTANT 485|4272ms|1|1|1
MUTANT 486|4298ms|1|1|1
MUTANT 487|4038ms|1|1|1
MUTANT 488|4000ms|1|1|1
MUTANT 489|4646ms|1|1|1
MUTANT 490|4430ms|1|1|1
MUTANT 491|4578ms|1|1|1
MUTANT 492|4562ms|1|1|1
MUTANT 493|3747ms|1|1|1
MUTANT 494|3780ms|1|1|1
MUTANT 495|3811ms|1|1|1
MUTANT 496|3789ms|1|1|1
MUTANT 497|3632ms|1|1|1
MUTANT 498|3715ms|1|1|1
MUTANT 499|3766ms|1|1|1
MUTANT 500|3858ms|1|1|1
MUTANT 501|3721ms|1|1|1
MUTANT 502|3681ms|1|1|1
MUTANT 503|3718ms|1|1|1
MUTANT 504|3704ms|1|1|1
MUTANT 505|3680ms|1|1|1
MUTANT 506|3735ms|1|1|1
MUTANT 507|3544ms|-2|-2|-2
MUTANT 508|3681ms|-2|-2|-2
MUTANT 509|3766ms|1|1|1
MUTANT 510|3625ms|1|1|1
MUTANT 511|3651ms|1|1|1
MUTANT 512|3799ms|1|1|1
MUTANT 513|3577ms|1|1|1
MUTANT 514|3528ms|1|1|1
MUTANT 515|3617ms|1|1|1
MUTANT 516|3563ms|1|1|1
MUTANT 517|3310ms|1|1|1
MUTANT 518|3382ms|1|1|1
MUTANT 519|3230ms|1|1|1
MUTANT 520|3242ms|1|1|1
MUTANT 521|2965ms|1|1|1
MUTANT 522|3030ms|1|1|1
MUTANT 523|3058ms|1|1|1
MUTANT 524|3055ms|1|1|1
MUTANT 526|2744ms|1|1|1
MUTANT 525|3071ms|1|1|1
MUTANT 527|2906ms|1|1|1
MUTANT 528|2798ms|1|1|1
MUTANT 529|2745ms|1|1|1
MUTANT 530|2690ms|1|1|1
MUTANT 531|2696ms|1|0|0
